"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"22,6";"23,3";"22,6";"88,0";"88,0";"83,0";"20,5";"20,5";"20,2";"953,6";"953,6";"953,1";"0,2";"3,0";"4,1";"";"0,0"
"01/01/2021";"0100";"22,2";"22,6";"22,1";"91,0";"93,0";"88,0";"20,6";"21,1";"20,6";"954,1";"954,2";"953,7";"1,0";"76,0";"3,8";"";"0,0"
"01/01/2021";"0200";"22,4";"22,5";"22,0";"88,0";"91,0";"88,0";"20,4";"20,7";"20,4";"954,3";"954,3";"954,1";"0,8";"9,0";"2,8";"";"0,0"
"01/01/2021";"0300";"22,2";"22,4";"21,8";"86,0";"91,0";"86,0";"19,8";"20,4";"19,8";"953,9";"954,4";"953,9";"0,0";"44,0";"2,8";"";"0,0"
"01/01/2021";"0400";"22,0";"22,2";"21,8";"90,0";"91,0";"86,0";"20,3";"20,4";"19,7";"953,4";"953,9";"953,4";"0,0";"28,0";"0,0";"";"0,0"
"01/01/2021";"0500";"22,1";"22,3";"21,9";"88,0";"91,0";"87,0";"20,1";"20,5";"20,0";"953,1";"953,4";"953,0";"0,0";"360,0";"0,0";"";"0,0"
"01/01/2021";"0600";"21,8";"22,3";"21,8";"89,0";"89,0";"85,0";"20,0";"20,2";"19,6";"952,6";"953,1";"952,5";"0,7";"91,0";"1,5";"";"0,0"
"01/01/2021";"0700";"21,6";"21,9";"21,5";"91,0";"92,0";"89,0";"20,2";"20,3";"20,0";"952,5";"952,6";"952,3";"0,0";"23,0";"1,5";"";"0,0"
"01/01/2021";"0800";"21,3";"21,6";"21,2";"92,0";"93,0";"91,0";"20,0";"20,1";"19,8";"953,0";"953,0";"952,5";"0,0";"34,0";"0,0";"";"0,0"
"01/01/2021";"0900";"21,2";"21,6";"21,2";"92,0";"92,0";"89,0";"19,8";"20,1";"19,6";"953,6";"953,6";"953,0";"0,0";"360,0";"0,0";"";"0,0"
"01/01/2021";"1000";"22,9";"22,9";"21,2";"83,0";"92,0";"83,0";"19,9";"20,1";"19,6";"954,0";"954,0";"953,5";"0,0";"1,0";"1,9";"188,40";"0,0"
"01/01/2021";"1100";"25,1";"25,1";"22,9";"74,0";"83,0";"73,0";"20,0";"20,1";"19,3";"954,4";"954,4";"954,0";"0,0";"360,0";"0,0";"923,10";"0,0"
"01/01/2021";"1200";"25,8";"25,9";"24,8";"70,0";"74,0";"69,0";"19,9";"20,1";"19,4";"954,9";"955,0";"954,4";"2,2";"360,0";"5,3";"1700,10";"0,0"
"01/01/2021";"1300";"27,5";"27,6";"25,8";"62,0";"71,0";"61,0";"19,5";"20,4";"19,5";"955,3";"955,3";"954,9";"2,1";"360,0";"6,2";"2488,60";"0,0"
"01/01/2021";"1400";"28,9";"29,6";"27,1";"58,0";"64,0";"57,0";"19,8";"20,5";"19,0";"955,3";"955,4";"955,3";"0,1";"360,0";"7,4";"2910,00";"0,0"
"01/01/2021";"1500";"28,7";"29,1";"27,2";"60,0";"67,0";"57,0";"20,1";"20,8";"19,3";"955,0";"955,3";"955,0";"0,4";"360,0";"7,2";"2566,50";"0,0"
"01/01/2021";"1600";"28,4";"29,2";"27,9";"61,0";"64,0";"59,0";"20,2";"20,9";"19,6";"954,7";"955,0";"954,7";"0,5";"1,0";"6,0";"1575,00";"0,0"
"01/01/2021";"1700";"29,3";"30,4";"28,4";"60,0";"62,0";"55,0";"20,7";"20,9";"19,8";"954,0";"954,8";"954,0";"2,1";"360,0";"7,1";"2112,40";"0,0"
"01/01/2021";"1800";"31,5";"31,7";"29,1";"51,0";"60,0";"49,0";"20,1";"20,9";"19,2";"952,9";"954,0";"952,8";"1,2";"360,0";"7,5";"3160,50";"0,0"
"01/01/2021";"1900";"31,3";"31,9";"30,0";"52,0";"55,0";"50,0";"20,2";"20,7";"19,1";"951,7";"952,9";"951,6";"2,2";"360,0";"7,5";"2403,90";"0,0"
"01/01/2021";"2000";"31,0";"31,9";"30,2";"50,0";"54,0";"47,0";"19,4";"20,2";"18,8";"951,3";"951,7";"951,3";"2,2";"360,0";"10,1";"2186,70";"0,0"
"01/01/2021";"2100";"30,6";"31,8";"30,6";"50,0";"52,0";"49,0";"19,1";"19,9";"18,9";"951,2";"951,3";"951,1";"2,8";"360,0";"7,0";"1431,40";"0,0"
