"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"20,5";"21,4";"20,5";"83,0";"83,0";"76,0";"17,5";"17,5";"17,1";"910,7";"910,7";"910,3";"1,8";"299,0";"5,1";"";"0,0"
"01/01/2021";"0100";"19,9";"20,5";"19,9";"";"";"";"";"";"";"910,7";"910,8";"910,5";"1,5";"272,0";"4,1";"";"0,0"
"01/01/2021";"0200";"19,7";"19,9";"19,7";"";"";"";"";"";"";"910,8";"910,8";"910,6";"1,0";"263,0";"3,2";"";"0,0"
"01/01/2021";"0300";"19,6";"19,7";"19,6";"";"";"";"";"";"";"910,7";"910,9";"910,6";"0,0";"9,0";"2,6";"";"0,0"
"01/01/2021";"0400";"19,9";"19,9";"19,5";"";"";"";"";"";"";"910,6";"910,7";"910,5";"0,6";"182,0";"2,4";"";"0,0"
"01/01/2021";"0500";"18,0";"20,0";"18,0";"85,0";"";"";"15,5";"";"";"910,5";"910,6";"910,3";"1,5";"92,0";"6,0";"";"0,4"
"01/01/2021";"0600";"18,0";"18,2";"17,8";"";"100,0";"85,0";"";"18,1";"15,7";"909,9";"910,5";"909,5";"0,9";"243,0";"4,7";"";"0,2"
"01/01/2021";"0700";"17,7";"18,3";"17,6";"";"";"";"";"";"";"910,4";"910,4";"909,9";"0,3";"154,0";"5,0";"";"0,0"
"01/01/2021";"0800";"18,3";"18,3";"17,6";"";"";"";"";"";"";"911,2";"911,2";"910,4";"1,2";"121,0";"3,4";"33,30";"0,0"
"01/01/2021";"0900";"18,9";"19,0";"18,3";"";"";"";"";"";"";"911,7";"911,7";"911,2";"1,9";"102,0";"5,6";"268,20";"0,0"
"01/01/2021";"1000";"20,3";"20,3";"18,9";"83,0";"";"";"17,3";"";"";"912,1";"912,1";"911,7";"1,6";"75,0";"3,7";"583,90";"0,0"
"01/01/2021";"1100";"21,0";"21,2";"20,3";"79,0";"83,0";"77,0";"17,2";"17,5";"16,8";"912,5";"912,5";"912,1";"1,7";"82,0";"5,1";"848,60";"0,0"
"01/01/2021";"1200";"21,0";"21,5";"20,8";"81,0";"81,0";"76,0";"17,6";"17,6";"16,6";"912,9";"912,9";"912,5";"1,1";"113,0";"5,0";"572,50";"0,0"
"01/01/2021";"1300";"20,0";"21,0";"19,5";"";"";"";"";"";"";"913,2";"913,2";"912,9";"1,5";"113,0";"4,1";"621,60";"0,8"
"01/01/2021";"1400";"22,8";"23,1";"19,7";"76,0";"";"";"18,3";"";"";"912,8";"913,2";"912,8";"2,4";"102,0";"6,1";"2513,20";"0,0"
"01/01/2021";"1500";"23,2";"24,1";"22,1";"72,0";"79,0";"69,0";"17,8";"19,4";"17,2";"912,5";"912,9";"912,5";"2,9";"106,0";"7,9";"2337,60";"0,0"
