"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"24,4";"25,8";"24,4";"87,0";"88,0";"75,0";"22,0";"22,7";"21,0";"1010,8";"1010,8";"1010,2";"0,3";"168,0";"3,9";"";"0,0"
"01/01/2021";"0100";"24,0";"24,7";"24,0";"97,0";"100,0";"84,0";"23,5";"24,4";"21,8";"1010,9";"1010,9";"1010,5";"0,0";"41,0";"3,4";"";"0,0"
"01/01/2021";"0200";"23,6";"24,6";"23,6";"99,0";"100,0";"86,0";"23,5";"24,4";"22,0";"1010,9";"1011,1";"1010,8";"0,0";"138,0";"3,1";"";"0,0"
"01/01/2021";"0300";"23,0";"23,9";"22,9";"";"";"";"";"";"";"1010,2";"1010,8";"1010,2";"0,0";"121,0";"1,1";"";"0,0"
"01/01/2021";"0400";"22,4";"23,0";"22,4";"";"";"";"";"";"";"1009,3";"1010,2";"1009,3";"0,0";"99,0";"0,5";"";"0,0"
"01/01/2021";"0500";"22,1";"22,5";"22,1";"";"";"";"";"";"";"1008,6";"1009,3";"1008,6";"0,0";"170,0";"1,1";"";"0,0"
"01/01/2021";"0600";"21,6";"22,1";"21,6";"";"";"";"";"";"";"1008,4";"1008,6";"1008,3";"0,1";"131,0";"0,9";"";"0,0"
"01/01/2021";"0700";"21,6";"21,7";"21,5";"";"";"";"";"";"";"1008,2";"1008,5";"1008,2";"0,1";"128,0";"1,4";"";"0,0"
"01/01/2021";"0800";"21,2";"21,6";"21,2";"";"";"";"";"";"";"1008,5";"1008,6";"1008,2";"0,0";"75,0";"1,4";"";"0,0"
"01/01/2021";"0900";"21,6";"21,6";"21,0";"";"";"";"";"";"";"1009,4";"1009,4";"1008,5";"0,0";"105,0";"1,0";"54,30";"0,0"
"01/01/2021";"1000";"24,4";"24,7";"21,6";"92,0";"";"";"23,1";"";"";"1010,3";"1010,3";"1009,4";"0,1";"71,0";"0,9";"580,50";"0,0"
"01/01/2021";"1100";"27,1";"27,2";"24,3";"65,0";"100,0";"62,0";"20,0";"24,7";"19,2";"1010,2";"1010,3";"1010,2";"0,0";"13,0";"1,8";"1430,90";"0,0"
"01/01/2021";"1200";"28,4";"28,6";"27,0";"61,0";"66,0";"60,0";"20,2";"20,9";"19,5";"1010,4";"1010,5";"1010,2";"0,2";"283,0";"1,5";"1701,60";"0,0"
"01/01/2021";"1300";"29,5";"30,2";"28,3";"56,0";"62,0";"53,0";"19,9";"21,1";"19,1";"1010,2";"1010,4";"1010,2";"1,9";"267,0";"4,4";"2820,50";"0,0"
"01/01/2021";"1400";"30,5";"31,1";"29,4";"53,0";"58,0";"51,0";"19,9";"20,7";"19,3";"1010,2";"1010,3";"1010,1";"1,1";"208,0";"5,0";"3418,20";"0,0"
"01/01/2021";"1500";"31,2";"32,3";"30,5";"50,0";"55,0";"46,0";"19,5";"21,0";"18,4";"1010,2";"1010,3";"1010,1";"2,2";"274,0";"6,0";"3372,40";"0,0"
"01/01/2021";"1600";"29,4";"31,4";"29,4";"62,0";"62,0";"49,0";"21,4";"21,6";"19,1";"1009,9";"1010,3";"1009,8";"1,3";"212,0";"6,2";"1224,00";"0,0"
"01/01/2021";"1700";"26,4";"29,9";"26,4";"75,0";"76,0";"57,0";"21,6";"22,2";"20,4";"1010,0";"1010,0";"1009,8";"0,3";"197,0";"4,3";"644,20";"0,0"
"01/01/2021";"1800";"26,1";"26,4";"25,5";"72,0";"95,0";"72,0";"20,8";"25,0";"20,6";"1009,8";"1010,1";"1009,8";"4,3";"122,0";"6,9";"283,00";"0,4"
"01/01/2021";"1900";"26,5";"26,6";"26,1";"65,0";"73,0";"65,0";"19,5";"20,7";"19,5";"1010,2";"1010,2";"1009,8";"2,3";"118,0";"6,6";"266,10";"0,0"
"01/01/2021";"2000";"26,5";"27,1";"26,4";"75,0";"75,0";"64,0";"21,6";"21,6";"19,3";"1009,8";"1010,2";"1009,8";"0,4";"177,0";"4,8";"500,20";"0,0"
"01/01/2021";"2100";"25,5";"26,9";"25,4";"83,0";"87,0";"70,0";"22,4";"23,4";"20,9";"1010,2";"1010,2";"1009,6";"0,0";"124,0";"1,7";"232,30";"0,0"
