"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"25,2";"26,2";"25,1";"91,0";"91,0";"83,0";"23,5";"23,6";"23,2";"990,5";"990,6";"989,3";"1,1";"329,0";"2,1";"";"0,0"
"01/01/2021";"0100";"25,1";"25,2";"25,0";"92,0";"92,0";"90,0";"23,6";"23,7";"23,4";"991,5";"991,5";"990,5";"0,6";"185,0";"1,9";"";"0,0"
"01/01/2021";"0200";"25,1";"25,2";"25,0";"92,0";"92,0";"91,0";"23,7";"23,7";"23,5";"992,5";"992,5";"991,5";"0,8";"230,0";"1,8";"";"0,0"
"01/01/2021";"0300";"25,2";"25,3";"25,1";"92,0";"92,0";"92,0";"23,8";"23,9";"23,6";"993,1";"993,1";"992,5";"0,8";"184,0";"1,9";"";"0,0"
"01/01/2021";"0400";"25,0";"25,2";"25,0";"92,0";"93,0";"92,0";"23,7";"23,9";"23,7";"993,3";"993,5";"993,1";"0,5";"150,0";"3,2";"";"0,0"
"01/01/2021";"0500";"24,8";"25,1";"24,7";"92,0";"93,0";"92,0";"23,4";"23,9";"23,3";"992,7";"993,3";"992,7";"2,0";"117,0";"3,5";"";"0,0"
"01/01/2021";"0600";"24,4";"24,8";"24,4";"92,0";"92,0";"91,0";"23,1";"23,3";"23,1";"992,0";"992,7";"992,0";"1,9";"163,0";"3,5";"";"0,0"
"01/01/2021";"0700";"24,0";"24,4";"24,0";"92,0";"92,0";"91,0";"22,7";"23,0";"22,5";"991,4";"992,0";"991,4";"1,3";"179,0";"3,3";"";"0,0"
"01/01/2021";"0800";"23,9";"24,0";"23,8";"93,0";"93,0";"92,0";"22,7";"22,7";"22,5";"991,6";"991,7";"991,4";"2,5";"167,0";"4,4";"";"0,0"
"01/01/2021";"0900";"24,1";"24,1";"23,9";"93,0";"93,0";"93,0";"22,9";"22,9";"22,7";"992,0";"992,1";"991,6";"1,3";"155,0";"5,2";"";"0,0"
"01/01/2021";"1000";"24,1";"24,2";"24,0";"93,0";"93,0";"92,0";"22,8";"23,1";"22,8";"993,0";"993,0";"992,0";"2,0";"76,0";"4,8";"";"0,2"
"01/01/2021";"1100";"23,9";"24,1";"23,8";"93,0";"93,0";"92,0";"22,6";"22,7";"22,5";"994,5";"994,5";"993,0";"2,1";"135,0";"4,8";"";"2,6"
"01/01/2021";"1200";"22,6";"23,9";"22,6";"95,0";"95,0";"91,0";"21,8";"22,7";"21,7";"996,1";"996,1";"994,5";"1,2";"224,0";"6,6";"10,50";"46,4"
"01/01/2021";"1300";"22,6";"22,7";"22,6";"96,0";"96,0";"95,0";"21,8";"21,9";"21,8";"997,3";"997,3";"996,1";"1,9";"191,0";"3,1";"16,00";"45,0"
"01/01/2021";"1400";"21,7";"22,6";"21,6";"96,0";"96,0";"95,0";"21,0";"21,8";"20,9";"997,7";"997,7";"997,3";"2,2";"162,0";"7,1";"24,60";"17,4"
"01/01/2021";"1500";"21,8";"21,8";"21,6";"95,0";"96,0";"95,0";"21,0";"21,0";"20,8";"997,7";"997,8";"997,7";"2,9";"130,0";"4,5";"118,80";"9,4"
"01/01/2021";"1600";"22,7";"22,7";"21,8";"94,0";"95,0";"94,0";"21,7";"21,7";"21,0";"997,3";"997,7";"997,3";"2,7";"189,0";"5,5";"639,70";"6,2"
"01/01/2021";"1700";"23,3";"23,3";"22,6";"91,0";"94,0";"90,0";"21,7";"22,1";"21,2";"995,9";"997,3";"995,9";"2,4";"180,0";"4,8";"1397,50";"0,0"
"01/01/2021";"1800";"23,9";"24,1";"23,1";"87,0";"91,0";"87,0";"21,6";"22,3";"21,0";"994,8";"995,9";"994,8";"1,7";"164,0";"4,4";"1253,70";"0,2"
"01/01/2021";"1900";"25,7";"26,0";"23,9";"79,0";"88,0";"77,0";"21,8";"22,4";"21,4";"992,9";"994,8";"992,9";"1,6";"177,0";"4,0";"2865,90";"0,2"
"01/01/2021";"2000";"27,1";"27,2";"25,3";"72,0";"81,0";"72,0";"21,7";"22,4";"21,2";"991,0";"992,9";"991,0";"1,9";"186,0";"4,1";"2349,60";"0,0"
"01/01/2021";"2100";"27,9";"28,2";"27,1";"69,0";"73,0";"67,0";"21,6";"22,0";"21,0";"990,2";"991,0";"990,2";"1,4";"271,0";"4,3";"2048,50";"0,0"
"01/01/2021";"2200";"27,9";"28,5";"27,3";"71,0";"72,0";"67,0";"22,2";"22,2";"21,3";"990,0";"990,3";"990,0";"1,9";"188,0";"3,2";"1139,60";"0,0"
"01/01/2021";"2300";"26,5";"28,0";"26,5";"75,0";"76,0";"69,0";"21,8";"22,2";"21,6";"990,9";"990,9";"990,0";"1,5";"185,0";"3,2";"378,90";"0,0"
"02/01/2021";"0000";"24,5";"26,5";"24,5";"90,0";"90,0";"75,0";"22,8";"23,0";"21,7";"991,9";"991,9";"990,9";"0,3";"257,0";"2,0";"";"0,0"
"02/01/2021";"0100";"24,1";"24,7";"24,1";"91,0";"91,0";"90,0";"22,4";"23,2";"22,4";"993,1";"993,1";"991,9";"1,4";"214,0";"2,0";"";"0,0"
"02/01/2021";"0200";"23,5";"24,0";"23,5";"91,0";"91,0";"90,0";"21,9";"22,4";"21,8";"994,1";"994,1";"993,1";"0,8";"232,0";"2,1";"";"0,0"
"02/01/2021";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2021";"1200";"22,6";"22,8";"22,2";"95,0";"96,0";"95,0";"21,8";"22,1";"21,5";"994,5";"994,5";"994,0";"0,4";"98,0";"";"275,70";"0,0"
"02/01/2021";"1300";"23,4";"23,4";"22,6";"92,0";"95,0";"92,0";"22,1";"22,2";"21,7";"994,8";"994,8";"994,5";"1,2";"189,0";"2,6";"412,80";"0,0"
"02/01/2021";"1400";"24,9";"24,9";"23,4";"87,0";"93,0";"84,0";"22,5";"22,5";"21,7";"995,1";"995,1";"994,8";"1,0";"263,0";"2,6";"1146,40";"0,0"
"02/01/2021";"1500";"26,6";"26,7";"24,8";"76,0";"87,0";"76,0";"22,0";"22,4";"21,6";"995,0";"995,2";"995,0";"0,9";"265,0";"2,4";"1474,60";"0,0"
"02/01/2021";"1600";"27,2";"27,4";"26,6";"75,0";"77,0";"74,0";"22,5";"22,8";"22,1";"994,5";"995,0";"994,5";"2,4";"204,0";"4,2";"1462,50";"0,0"
"02/01/2021";"1700";"27,9";"28,1";"27,2";"72,0";"77,0";"71,0";"22,3";"23,2";"22,2";"993,8";"994,6";"993,8";"1,1";"265,0";"3,5";"1228,50";"0,0"
"02/01/2021";"1800";"29,6";"29,6";"27,9";"66,0";"73,0";"66,0";"22,5";"23,1";"21,7";"991,8";"993,8";"991,8";"1,4";"266,0";"3,3";"1969,60";"0,0"
"02/01/2021";"1900";"30,2";"30,3";"29,4";"59,0";"67,0";"55,0";"21,4";"23,1";"19,5";"989,8";"991,8";"989,8";"1,2";"80,0";"3,9";"3268,10";"0,0"
"02/01/2021";"2000";"30,5";"31,0";"29,9";"60,0";"60,0";"57,0";"21,8";"22,1";"21,0";"988,5";"989,8";"988,5";"1,7";"315,0";"3,9";"2581,70";"0,0"
"02/01/2021";"2100";"32,4";"32,4";"30,3";"53,0";"60,0";"53,0";"21,5";"22,4";"20,9";"988,2";"988,5";"988,2";"1,0";"234,0";"4,5";"2191,40";"0,0"
"02/01/2021";"2200";"28,0";"32,4";"28,0";"74,0";"75,0";"51,0";"23,0";"23,4";"20,9";"988,6";"988,6";"988,2";"5,1";"31,0";"8,3";"1120,50";"0,0"
"02/01/2021";"2300";"26,6";"28,0";"26,3";"89,0";"90,0";"74,0";"24,6";"24,7";"22,5";"988,5";"988,7";"988,5";"0,9";"35,0";"8,8";"323,30";"1,6"
"03/01/2021";"0000";"25,2";"26,6";"25,2";"92,0";"92,0";"88,0";"23,9";"24,5";"23,7";"989,8";"989,8";"988,5";"1,1";"342,0";"3,0";"8,30";"0,0"
"03/01/2021";"0100";"24,8";"25,2";"24,8";"93,0";"93,0";"92,0";"23,6";"23,9";"23,6";"991,1";"991,1";"989,8";"1,4";"9,0";"2,1";"";"0,0"
"03/01/2021";"0200";"24,6";"24,8";"24,6";"93,0";"93,0";"93,0";"23,4";"23,6";"23,4";"992,2";"992,2";"991,1";"0,9";"6,0";"2,1";"";"0,0"
"03/01/2021";"0300";"24,4";"24,6";"24,4";"93,0";"93,0";"93,0";"23,1";"23,4";"23,1";"992,6";"992,6";"992,2";"0,4";"29,0";"1,6";"";"0,0"
"03/01/2021";"0400";"24,5";"24,6";"24,3";"94,0";"94,0";"93,0";"23,4";"23,4";"23,1";"992,2";"992,6";"992,1";"0,4";"295,0";"1,3";"";"0,0"
"03/01/2021";"0500";"24,4";"24,6";"24,4";"94,0";"94,0";"93,0";"23,3";"23,5";"23,3";"991,7";"992,2";"991,7";"0,5";"334,0";"1,1";"";"0,0"
"03/01/2021";"0600";"24,2";"24,4";"24,2";"94,0";"94,0";"94,0";"23,3";"23,3";"23,2";"991,2";"991,7";"991,1";"0,4";"172,0";"1,3";"";"0,0"
"03/01/2021";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2021";"1200";"24,5";"24,5";"24,2";"92,0";"95,0";"92,0";"23,1";"23,3";"22,9";"992,4";"992,4";"992,0";"0,8";"268,0";"";"274,40";"0,0"
"03/01/2021";"1300";"25,4";"25,4";"24,4";"86,0";"92,0";"86,0";"22,9";"23,4";"22,7";"993,0";"993,0";"992,4";"1,0";"265,0";"2,4";"966,10";"0,0"
"03/01/2021";"1400";"27,0";"27,0";"25,3";"78,0";"86,0";"78,0";"22,8";"23,2";"22,3";"993,3";"993,3";"993,0";"1,5";"269,0";"3,1";"1334,40";"0,0"
"03/01/2021";"1500";"28,3";"28,3";"26,9";"71,0";"79,0";"70,0";"22,5";"23,3";"21,8";"993,1";"993,3";"993,1";"2,3";"336,0";"4,9";"2191,60";"0,0"
"03/01/2021";"1600";"29,9";"30,0";"28,1";"66,0";"73,0";"66,0";"22,9";"23,5";"22,2";"992,7";"993,1";"992,7";"2,3";"309,0";"4,5";"2295,00";"0,0"
"03/01/2021";"1700";"31,2";"31,3";"29,7";"63,0";"68,0";"61,0";"23,5";"23,5";"22,2";"991,6";"992,7";"991,6";"2,1";"289,0";"4,7";"3065,20";"0,0"
"03/01/2021";"1800";"28,7";"31,3";"28,7";"74,0";"75,0";"60,0";"23,7";"23,8";"22,2";"989,7";"991,6";"989,7";"3,8";"342,0";"7,5";"2406,00";"0,0"
"03/01/2021";"1900";"29,5";"29,6";"27,6";"71,0";"87,0";"71,0";"23,7";"25,4";"23,2";"987,5";"989,7";"987,5";"2,0";"8,0";"6,1";"3010,70";"0,2"
"03/01/2021";"2000";"32,0";"32,1";"29,5";"60,0";"73,0";"60,0";"23,3";"24,1";"22,8";"986,6";"987,5";"986,6";"1,2";"299,0";"4,0";"2824,10";"0,0"
"03/01/2021";"2100";"27,9";"32,3";"27,9";"72,0";"74,0";"59,0";"22,3";"24,2";"22,1";"986,8";"986,9";"986,6";"3,2";"333,0";"6,5";"1482,90";"1,0"
"03/01/2021";"2200";"26,5";"28,5";"24,6";"87,0";"90,0";"72,0";"24,1";"25,1";"22,1";"987,4";"987,4";"986,7";"1,6";"101,0";"10,7";"373,20";"11,4"
"03/01/2021";"2300";"26,7";"26,8";"26,1";"84,0";"88,0";"83,0";"23,7";"24,7";"23,4";"988,2";"988,2";"987,4";"1,6";"49,0";"2,8";"390,20";"0,0"
"04/01/2021";"0000";"25,8";"26,8";"25,8";"86,0";"89,0";"83,0";"23,2";"24,1";"23,1";"988,8";"988,8";"988,2";"2,1";"41,0";"3,1";"";"0,0"
"04/01/2021";"0100";"25,6";"25,8";"25,5";"90,0";"91,0";"85,0";"23,9";"24,0";"23,1";"989,5";"989,5";"988,8";"1,4";"46,0";"3,6";"";"0,6"
"04/01/2021";"0200";"23,6";"25,6";"23,6";"93,0";"93,0";"87,0";"22,4";"23,9";"22,3";"991,1";"991,2";"989,5";"3,6";"336,0";"8,0";"";"2,8"
"04/01/2021";"0300";"23,2";"23,6";"23,2";"94,0";"94,0";"93,0";"22,1";"22,4";"22,1";"990,7";"991,2";"990,7";"2,7";"8,0";"5,6";"";"3,0"
"04/01/2021";"0400";"23,2";"23,3";"23,2";"93,0";"94,0";"93,0";"22,0";"22,3";"22,0";"990,3";"990,7";"990,2";"1,4";"354,0";"4,0";"";"0,0"
